affected_table,completed_at,created_at,error_message,fill_percentage,id,job_id,job_item_id,mapped_fields_count,message,metadata,missing_fields_count,module_name,rows_fetched,rows_inserted,rows_skipped,rows_updated,started_at,status,step_name,stock_id,updated_at,yahoo_symbol
stock_import_reconciliation,2026-04-28T17:46:09.303+00:00,2026-04-28T17:46:09.303+00:00,,96.43,01838a74-5974-49d0-b0d2-e30dde7fbec2,9f7616df-ad7c-4eb6-b1e3-3434712e6a42,ea8dbd3e-ac45-4338-812e-cf54a6d61110,28,Reconciled income statement quarterly against stock_income_statement for RELIANCE.,"{""rawImportId"":""0d361d85-e8b1-472a-91dc-c031289d2f44"",""targetTable"":""stock_income_statement"",""reconciliationStatus"":""completed_with_warnings""}",1,income_statement_quarterly,2,2,0,0,2026-04-28T17:46:09.303+00:00,warning,reconciliation_completed,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-28T17:46:09.303+00:00,RELIANCE.NS
raw_yahoo_imports,,2026-04-28T17:49:07.779+00:00,,,0227e9e4-f6f8-4b55-a6d6-1e3e0295e640,df380c4b-5968-4bba-a1b7-6409ba066627,,0,Fetching Yahoo financial statements for RELIANCE.,{},0,financial_statements,0,0,0,0,2026-04-28T17:49:07.778+00:00,running,fetch_started,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-28T17:49:07.779+00:00,RELIANCE.NS
stock_import_errors,2026-04-28T18:06:09.314+00:00,2026-04-28T18:06:09.315+00:00,"Invalid Crumb Browser-auth fallback also failed: Yahoo browser-auth fallback could not obtain a crumb for ""RELIANCE.NS"" (status 429).",,024987d6-7f04-48ca-a9cd-1679d2f0b818,b5566018-8d93-49b8-9428-867776813868,,0,Yahoo financial statements are currently unavailable for RELIANCE.,"{""rawImportId"":null,""unavailable"":true,""retryRecommendation"":""Retry only the financial_statements module later.""}",0,financial_statements,0,0,0,0,2026-04-28T18:06:09.314+00:00,warning,import_failed,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-28T18:06:09.315+00:00,RELIANCE.NS
stock_import_coverage,2026-04-28T17:46:08.883+00:00,2026-04-28T17:46:08.883+00:00,,96.43,0279f03c-acf0-4e8c-9273-421f5a4ae749,9f7616df-ad7c-4eb6-b1e3-3434712e6a42,ea8dbd3e-ac45-4338-812e-cf54a6d61110,28,Updated income statement quarterly coverage for RELIANCE.,"{""bucketKey"":""income_statement_quarterly"",""rawImportId"":""0d361d85-e8b1-472a-91dc-c031289d2f44""}",1,income_statement_quarterly,2,2,0,0,2026-04-28T17:46:08.883+00:00,warning,coverage_updated,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-28T17:46:08.883+00:00,RELIANCE.NS
stock_import_coverage,2026-04-28T18:06:16.026+00:00,2026-04-28T18:06:16.026+00:00,,0,027b6cf5-b65f-4060-8ce3-bcb9dfdf86c8,b5566018-8d93-49b8-9428-867776813868,74d3779c-8f54-4ca7-812f-e418abb8ec7a,11,Marked cash flow annual coverage unavailable for RELIANCE.,"{""rawImportId"":null,""unavailable"":true}",11,cash_flow_annual,0,0,1,0,2026-04-28T18:06:16.026+00:00,warning,coverage_updated,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-28T18:06:16.026+00:00,RELIANCE.NS
stock_import_reconciliation,2026-04-29T00:46:05.206+00:00,2026-04-29T00:46:05.206+00:00,,100,071b319e-461f-449a-9487-7402c423dfab,d3dde28e-92e3-4af6-ad50-f317725a08b3,35778aba-0969-4e2a-b19a-6bbe9dc0b8f0,11,Reconciled valuation metrics against stock_valuation_metrics for RELIANCE.,"{""rawImportId"":""e8e84b93-404c-4e6d-a178-69262ed05965"",""targetTable"":""stock_valuation_metrics"",""reconciliationStatus"":""completed""}",0,valuation_metrics,1,1,0,0,2026-04-29T00:46:05.206+00:00,completed,reconciliation_completed,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-29T00:46:05.206+00:00,RELIANCE.NS
stock_import_reconciliation,2026-04-29T00:47:29.865+00:00,2026-04-29T00:47:29.865+00:00,,0,079fda73-f7d8-429c-b274-4099beb8b690,5499d952-89c8-4fad-a98c-50ca9e78af5d,053f67c2-bc11-46eb-9c64-a7209eb87803,13,Recorded unavailable reconciliation state for balance sheet annual.,"{""rawImportId"":null,""unavailable"":true,""reconciliationStatus"":""no_data""}",13,balance_sheet_annual,0,0,1,0,2026-04-29T00:47:29.865+00:00,warning,reconciliation_completed,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-29T00:47:29.865+00:00,RELIANCE.NS
stock_import_reconciliation,2026-04-29T00:47:33.365+00:00,2026-04-29T00:47:33.366+00:00,,0,089da04b-746d-471d-abb4-55ec3ae5e95a,5499d952-89c8-4fad-a98c-50ca9e78af5d,294de175-a449-42ba-8e48-71fe1da66cee,11,Recorded unavailable reconciliation state for cash flow quarterly.,"{""rawImportId"":null,""unavailable"":true,""reconciliationStatus"":""no_data""}",11,cash_flow_quarterly,0,0,1,0,2026-04-29T00:47:33.365+00:00,warning,reconciliation_completed,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-29T00:47:33.366+00:00,RELIANCE.NS
stock_financial_highlights,2026-04-28T17:49:05.809+00:00,2026-04-28T17:49:05.809+00:00,,92.31,09e43886-d10a-4800-8c51-7f2eeef23f65,1f72339f-da02-4230-9133-ba72ee62c4fb,307368c2-2c40-47ba-874d-79c49827e2bf,13,Normalized financial highlights for RELIANCE.,"{""tradeDate"":""2026-04-28"",""rawImportId"":""5428dc46-46de-4df1-a186-ee846f805607""}",1,financial_highlights,1,1,0,0,2026-04-28T17:49:02.403+00:00,warning,normalization_completed,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-28T17:49:05.809+00:00,RELIANCE.NS
stock_import_coverage,2026-04-28T18:05:36.575+00:00,2026-04-28T18:05:36.576+00:00,,90.91,0a4bd9da-16bf-49db-9d13-960868a760f3,36851626-dfbc-4d60-bf00-0d3bcdb0ff23,927c24d2-f92c-4c3b-a81b-13663de651c0,11,Updated latest market snapshot coverage for RELIANCE.,"{""bucketKey"":""latest_market_snapshot"",""rawImportId"":""590002ad-1c3f-4dcc-8e3f-8c0a399e32ce"",""fallbackStrategy"":""chart_history""}",1,latest_market_snapshot,1,1,0,0,2026-04-28T18:05:36.575+00:00,warning,coverage_updated,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-28T18:05:36.576+00:00,RELIANCE.NS
