created_at,id,job_id,metadata,missing_optional_fields,missing_required_fields,module_name,normalized_records_count,raw_import_id,raw_records_count,reconciliation_notes,reconciliation_status,stock_id,target_table,unmapped_records_count,updated_at,yahoo_symbol
2026-04-29T00:47:29.677+00:00,00dbedb9-1f7b-43a6-a9d7-1de198c129c6,5499d952-89c8-4fad-a98c-50ca9e78af5d,"{""sourceUrl"":null,""stockSlug"":""reliance-industries"",""sourceName"":""yahoo_finance"",""rawImportId"":null,""stockSymbol"":""RELIANCE"",""unavailable"":true,""yahooSymbol"":""RELIANCE.NS"",""sourceRecordedAt"":null}","[""currency_code"",""total_assets"",""total_liabilities"",""stockholders_equity"",""current_assets"",""current_liabilities"",""cash_and_equivalents"",""inventory"",""receivables"",""payables"",""short_term_debt"",""long_term_debt"",""net_debt""]","[""provider_response_unavailable""]",balance_sheet_annual,0,,0,"Invalid Crumb Browser-auth fallback also failed: Yahoo browser-auth fallback could not obtain a crumb for ""RELIANCE.NS"" (status 429).",no_data,1e0fab79-e038-4b74-a135-af61999090cd,stock_balance_sheet,0,2026-04-29T00:47:29.677+00:00,RELIANCE.NS
2026-04-28T18:05:54.63+00:00,012ec3c5-c7ea-42b4-a590-89a78b706817,36851626-dfbc-4d60-bf00-0d3bcdb0ff23,"{""sourceUrl"":null,""stockSlug"":""reliance-industries"",""sourceName"":""yahoo_finance"",""rawImportId"":null,""stockSymbol"":""RELIANCE"",""unavailable"":true,""yahooSymbol"":""RELIANCE.NS"",""sourceRecordedAt"":null}","[""total_revenue"",""gross_profit"",""ebitda"",""net_income_to_common"",""diluted_eps"",""operating_cash_flow"",""free_cash_flow"",""total_cash"",""total_debt"",""current_ratio"",""book_value_per_share"",""return_on_assets"",""return_on_equity""]","[""provider_response_unavailable""]",financial_highlights,0,,0,"Invalid Crumb Browser-auth fallback also failed: Yahoo browser-auth fallback could not obtain a crumb for ""RELIANCE.NS"" (status 429).",no_data,1e0fab79-e038-4b74-a135-af61999090cd,stock_financial_highlights,0,2026-04-28T18:05:54.63+00:00,RELIANCE.NS
2026-04-28T17:46:09.092+00:00,1068e964-e664-4912-87dd-166163a03f85,9f7616df-ad7c-4eb6-b1e3-3434712e6a42,"{""sourceUrl"":""https://query1.finance.yahoo.com/v10/finance/quoteSummary/RELIANCE.NS?modules=incomeStatementHistory%2CincomeStatementHistoryQuarterly%2CbalanceSheetHistory%2CbalanceSheetHistoryQuarterly%2CcashflowStatementHistory%2CcashflowStatementHistoryQuarterly&formatted=false&corsDomain=finance.yahoo.com"",""stockSlug"":""reliance-industries"",""periodType"":""quarterly"",""sourceName"":""yahoo_finance"",""rawImportId"":""0d361d85-e8b1-472a-91dc-c031289d2f44"",""stockSymbol"":""RELIANCE"",""yahooSymbol"":""RELIANCE.NS"",""fillPercentage"":96.43,""latestFiscalDate"":""2025-12-31"",""sourceRecordedAt"":""2026-04-28T17:46:05.397+00:00""}","[""2025-09-30:operating_expense""]",[],income_statement_quarterly,2,0d361d85-e8b1-472a-91dc-c031289d2f44,2,Normalized 2 of 2 raw statement rows for income_statement_quarterly.,completed_with_warnings,1e0fab79-e038-4b74-a135-af61999090cd,stock_income_statement,0,2026-04-28T17:46:09.092+00:00,RELIANCE.NS
2026-04-28T17:49:05.164+00:00,14240ead-8f26-4d58-b7f2-00a14abe7355,1f72339f-da02-4230-9133-ba72ee62c4fb,"{""sourceUrl"":""https://query1.finance.yahoo.com/v10/finance/quoteSummary/RELIANCE.NS?modules=summaryDetail%2CdefaultKeyStatistics%2CfinancialData%2Cprice&formatted=false&corsDomain=finance.yahoo.com"",""stockSlug"":""reliance-industries"",""tradeDate"":""2026-04-28"",""sourceName"":""yahoo_finance"",""rawImportId"":""5428dc46-46de-4df1-a186-ee846f805607"",""stockSymbol"":""RELIANCE"",""yahooSymbol"":""RELIANCE.NS"",""fillPercentage"":80,""sourceRecordedAt"":""2026-04-28T17:49:01.722+00:00""}","[""implied_shares_outstanding"",""short_percent_float""]",[],share_statistics,1,5428dc46-46de-4df1-a186-ee846f805607,1,share statistics mapped 8/10 fields.,completed_with_warnings,1e0fab79-e038-4b74-a135-af61999090cd,stock_share_statistics,0,2026-04-28T17:49:05.164+00:00,RELIANCE.NS
2026-04-28T17:46:02.471+00:00,1cc0b058-5770-4bbe-849b-c035725f5f87,a80d4397-c30c-4077-9a9d-a11f808b5e8d,"{""sourceUrl"":""https://query1.finance.yahoo.com/v10/finance/quoteSummary/RELIANCE.NS?modules=summaryDetail%2CdefaultKeyStatistics%2CfinancialData%2Cprice&formatted=false&corsDomain=finance.yahoo.com"",""stockSlug"":""reliance-industries"",""tradeDate"":""2026-04-28"",""sourceName"":""yahoo_finance"",""rawImportId"":""6dc5ffb4-b5cd-47d2-a393-bd644bcb118c"",""stockSymbol"":""RELIANCE"",""yahooSymbol"":""RELIANCE.NS"",""fillPercentage"":80,""sourceRecordedAt"":""2026-04-28T17:45:59.111+00:00""}","[""implied_shares_outstanding"",""short_percent_float""]",[],share_statistics,1,6dc5ffb4-b5cd-47d2-a393-bd644bcb118c,1,share statistics mapped 8/10 fields.,completed_with_warnings,1e0fab79-e038-4b74-a135-af61999090cd,stock_share_statistics,0,2026-04-28T17:46:02.471+00:00,RELIANCE.NS
2026-04-29T00:47:33.163+00:00,208f3b17-74a9-4080-b478-2e30a2f7bd49,5499d952-89c8-4fad-a98c-50ca9e78af5d,"{""sourceUrl"":null,""stockSlug"":""reliance-industries"",""sourceName"":""yahoo_finance"",""rawImportId"":null,""stockSymbol"":""RELIANCE"",""unavailable"":true,""yahooSymbol"":""RELIANCE.NS"",""sourceRecordedAt"":null}","[""currency_code"",""operating_cash_flow"",""investing_cash_flow"",""financing_cash_flow"",""capital_expenditure"",""free_cash_flow"",""dividends_paid"",""stock_based_compensation"",""depreciation_amortization"",""beginning_cash_position"",""end_cash_position""]","[""provider_response_unavailable""]",cash_flow_quarterly,0,,0,"Invalid Crumb Browser-auth fallback also failed: Yahoo browser-auth fallback could not obtain a crumb for ""RELIANCE.NS"" (status 429).",no_data,1e0fab79-e038-4b74-a135-af61999090cd,stock_cash_flow,0,2026-04-29T00:47:33.163+00:00,RELIANCE.NS
2026-04-29T00:47:30.832+00:00,2241744e-da5e-4b93-b5df-812313367aa5,5499d952-89c8-4fad-a98c-50ca9e78af5d,"{""sourceUrl"":null,""stockSlug"":""reliance-industries"",""sourceName"":""yahoo_finance"",""rawImportId"":null,""stockSymbol"":""RELIANCE"",""unavailable"":true,""yahooSymbol"":""RELIANCE.NS"",""sourceRecordedAt"":null}","[""currency_code"",""total_assets"",""total_liabilities"",""stockholders_equity"",""current_assets"",""current_liabilities"",""cash_and_equivalents"",""inventory"",""receivables"",""payables"",""short_term_debt"",""long_term_debt"",""net_debt""]","[""provider_response_unavailable""]",balance_sheet_quarterly,0,,0,"Invalid Crumb Browser-auth fallback also failed: Yahoo browser-auth fallback could not obtain a crumb for ""RELIANCE.NS"" (status 429).",no_data,1e0fab79-e038-4b74-a135-af61999090cd,stock_balance_sheet,0,2026-04-29T00:47:30.832+00:00,RELIANCE.NS
2026-04-29T00:47:27.288+00:00,2272448e-327a-4cf8-87fe-2962cb1f4dfa,5499d952-89c8-4fad-a98c-50ca9e78af5d,"{""sourceUrl"":null,""stockSlug"":""reliance-industries"",""sourceName"":""yahoo_finance"",""rawImportId"":null,""stockSymbol"":""RELIANCE"",""unavailable"":true,""yahooSymbol"":""RELIANCE.NS"",""sourceRecordedAt"":null}","[""currency_code"",""total_revenue"",""cost_of_revenue"",""gross_profit"",""operating_expense"",""operating_income"",""interest_expense"",""pretax_income"",""income_tax_expense"",""net_income"",""net_income_common"",""basic_eps"",""diluted_eps"",""ebitda""]","[""provider_response_unavailable""]",income_statement_annual,0,,0,"Invalid Crumb Browser-auth fallback also failed: Yahoo browser-auth fallback could not obtain a crumb for ""RELIANCE.NS"" (status 429).",no_data,1e0fab79-e038-4b74-a135-af61999090cd,stock_income_statement,0,2026-04-29T00:47:27.288+00:00,RELIANCE.NS
2026-04-28T17:49:12.984+00:00,24b95017-5e19-4b9c-83e5-3bf0eda48114,df380c4b-5968-4bba-a1b7-6409ba066627,"{""sourceUrl"":""https://query1.finance.yahoo.com/v10/finance/quoteSummary/RELIANCE.NS?modules=incomeStatementHistory%2CincomeStatementHistoryQuarterly%2CbalanceSheetHistory%2CbalanceSheetHistoryQuarterly%2CcashflowStatementHistory%2CcashflowStatementHistoryQuarterly&formatted=false&corsDomain=finance.yahoo.com"",""stockSlug"":""reliance-industries"",""periodType"":""annual"",""sourceName"":""yahoo_finance"",""rawImportId"":""9b5aff5d-d5e5-4f63-aa19-5bfa20db2317"",""stockSymbol"":""RELIANCE"",""yahooSymbol"":""RELIANCE.NS"",""fillPercentage"":100,""latestFiscalDate"":""2025-03-31"",""sourceRecordedAt"":""2026-04-28T17:49:08.203+00:00""}",[],[],balance_sheet_annual,2,9b5aff5d-d5e5-4f63-aa19-5bfa20db2317,2,Normalized 2 of 2 raw statement rows for balance_sheet_annual.,completed,1e0fab79-e038-4b74-a135-af61999090cd,stock_balance_sheet,0,2026-04-28T17:49:12.984+00:00,RELIANCE.NS
2026-04-28T17:49:15.546+00:00,2a5c6907-bf8c-4b86-947f-b575e62c487b,df380c4b-5968-4bba-a1b7-6409ba066627,"{""sourceUrl"":""https://query1.finance.yahoo.com/v10/finance/quoteSummary/RELIANCE.NS?modules=incomeStatementHistory%2CincomeStatementHistoryQuarterly%2CbalanceSheetHistory%2CbalanceSheetHistoryQuarterly%2CcashflowStatementHistory%2CcashflowStatementHistoryQuarterly&formatted=false&corsDomain=finance.yahoo.com"",""stockSlug"":""reliance-industries"",""periodType"":""annual"",""sourceName"":""yahoo_finance"",""rawImportId"":""9b5aff5d-d5e5-4f63-aa19-5bfa20db2317"",""stockSymbol"":""RELIANCE"",""yahooSymbol"":""RELIANCE.NS"",""fillPercentage"":100,""latestFiscalDate"":""2025-03-31"",""sourceRecordedAt"":""2026-04-28T17:49:08.203+00:00""}",[],[],cash_flow_annual,2,9b5aff5d-d5e5-4f63-aa19-5bfa20db2317,2,Normalized 2 of 2 raw statement rows for cash_flow_annual.,completed,1e0fab79-e038-4b74-a135-af61999090cd,stock_cash_flow,0,2026-04-28T17:49:15.546+00:00,RELIANCE.NS
